Year,Service,Value
2011,,30.2
2012,,29.9
2013,,27.4
2014,,30.2
2015,,29.9
2016,,29.3
2017,,28.9
2018,,27.4
2011,Education,13.8
2012,Education,12.9
2013,Education,14.2
2014,Education,12.7
2015,Education,12.6
2016,Education,12.5
2017,Education,12.1
2018,Education,12.8
2011,Health,7.5
2012,Health,6.9
2013,Health,1.7
2014,Health,6.6
2015,Health,7.2
2016,Health,6.7
2017,Health,7.1
2018,Health,6.4
2011,Social Protection, 8.9
2012,Social Protection,10.1
2013,Social Protection,11.4
2014,Social Protection,10.9
2015,Social Protection,10.0
2016,Social Protection,10.1
2017,Social Protection, 9.6
2018,Social Protection, 8.2


































