Year,Age group,Sex,Value
2014,,,12.6
2015,,,11.7
2016,,,13.3
2017,,,14.1
2018,,,13.4
2019,,,17.4
2020,,,19.1
2023,,,13.1
2024,,,7.8
2014,,Male,11.3
2015,,Male,10.5
2016,,Male,11.8
2017,,Male,12.9
2018,,Male,11.3
2019,,Male,16.0
2020,,Male,17.6
2022,,Male,11.4
2024,,Male,7.2
2014,,Female,13.8
2015,,Female,12.8
2016,,Female,14.6
2017,,Female,15.2
2018,,Female,15.4
2019,,Female,18.7
2020,,Female,20.3
2022,,Female,14.5
2024,,Female,8.4
2014,15-24,,33.158
2015,15-24,,29.722
2016,15-24,,36.816
2017,15-24,,32.751
2018,15-24,,29.256
2019,15-24,,41.736
2020,15-24,,42.202
2023,15-24,,29.777
2024,15-24,,16.281
2014,25-34,,15.402
2015,25-34,,13.803
2016,25-34,,14.734
2017,25-34,,18.752
2018,25-34,,18.125
2019,25-34,,16.208
2020,25-34,,24.211
2023,25-34,,11.597
2024,25-34,,8.692
2014,35-44,,13.119
2015,35-44,,9.96
2016,35-44,,10.994
2017,35-44,,11.475
2018,35-44,,12.334
2019,35-44,,15.963
2020,35-44,,17.792
2023,35-44,,10.824
2024,35-44,,7.105
2014,45-54,,8.884
2015,45-54,,9.718
2016,45-54,,10.441
2017,45-54,,11.496
2018,45-54,,9.897
2019,45-54,,13.692
2020,45-54,,13.273
2023,45-54,,9.905
2024,45-54,,5.881
2014,55-64,,7.171
2015,55-64,,6.745
2016,55-64,,7.047
2017,55-64,,9.158
2018,55-64,,8.713
2019,55-64,,14.539
2020,55-64,,15.368
2023,55-64,,13.635
2024,55-64,,5.657
2014,65+,,2.199
2015,65+,,7.867
2016,65+,,6.978
2017,65+,,4.95
2018,65+,,6.647
2019,65+,,10.698
2020,65+,,15.354
2023,65+,,10.97
2024,65+,,11.63
